rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,2180,2180,0,0,0,0,0
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,2647,2647,0,0,0,0,0
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,17459,17459,0,0,0,0,0
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,57373,57373,0,19906,19906,0,188.219632
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,0,0,0,3900,3900,0,-100
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,STANSTED,KLAGENFURT,2067,2067,0,0,0,0,0
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,4635,4635,0,1821,1821,0,154.530478
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,21202,21202,0,13501,13501,0,57.040219
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,VIENNA,580,580,0,0,0,0,0
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,2685,2685,0,1131,1131,0,137.400531
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,VIENNA,4555,4555,0,1749,1749,0,160.434534
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,LEEDS BRADFORD,VIENNA,407,0,407,0,0,0,0
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),VIENNA,2733,2733,0,840,840,0,225.357143
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,VIENNA,8638,8638,0,2079,2079,0,315.488215
16/01/2023 14:03,202211,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,VIENNA,535,535,0,0,0,0,0
16/01/2023 14:03,202211,WESTERN EUROPE-EU,BELGIUM,HEATHROW,BRUSSELS,49860,49860,0,19881,19881,0,150.792214
16/01/2023 14:03,202211,WESTERN EUROPE-EU,BELGIUM,BIRMINGHAM,BRUSSELS,8564,8564,0,1053,965,88,713.295347
16/01/2023 14:03,202211,WESTERN EUROPE-EU,BELGIUM,CARDIFF WALES,BRUSSELS,0,0,0,232,0,232,-100
