rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,24760,18900,5860,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,7975,5163,2812,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,INNSBRUCK,8222,8222,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,SALZBURG,7341,7341,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,17902,17902,0,1001,1001,0,1688.411588
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,LONDON CITY,SALZBURG,631,631,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,LUTON,INNSBRUCK,2801,1439,1362,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,LUTON,SALZBURG,2054,2054,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,4329,4329,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,STANSTED,INNSBRUCK,2597,1174,1423,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,10130,8696,1434,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,15878,15878,0,138,138,0,11405.797101
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,SALZBURG,1186,1186,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,4140,1350,2790,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,SALZBURG,2745,1449,1296,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,4855,3467,1388,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,SALZBURG,3967,2718,1249,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,EAST MIDLANDS INTERNATIONAL,SALZBURG,2136,998,1138,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,INNSBRUCK,2690,1261,1429,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,SALZBURG,1190,1190,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,VIENNA,2314,2314,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,SALZBURG,1213,0,1213,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,LEEDS BRADFORD,SALZBURG,1596,1596,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),SALZBURG,1142,1142,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,INNSBRUCK,7334,4554,2780,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,SALZBURG,5252,3094,2158,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,VIENNA,1100,1100,0,0,0,0,0
13/04/2022 14:15,202202,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,INNSBRUCK,1376,1376,0,0,0,0,0
