rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,27259,21790,5469,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,7028,5575,1453,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,3068,3068,0,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,INNSBRUCK,9693,9693,0,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,SALZBURG,8229,8229,0,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,28209,28209,0,2669,2669,0,956.912701
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,LONDON CITY,SALZBURG,444,444,0,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,LUTON,INNSBRUCK,2274,801,1473,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,LUTON,SALZBURG,1592,1592,0,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,3934,3934,0,373,373,0,954.691689
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,STANSTED,INNSBRUCK,2062,1327,735,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,8567,8415,152,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,18063,18063,0,301,301,0,5900.996678
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,SALZBURG,905,905,0,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,VIENNA,0,0,0,52,0,52,-100
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,4313,1381,2932,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,SALZBURG,2138,1221,917,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,4059,3150,909,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,SALZBURG,2848,2713,135,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,2175,2175,0,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,CARDIFF WALES,VIENNA,735,0,735,54,0,54,1261.111111
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,EAST MIDLANDS INTERNATIONAL,SALZBURG,1136,1057,79,0,0,0,0
20/05/2022 17:03,202203,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,INNSBRUCK,2604,1150,1454,0,0,0,0
