rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,13481,9240,4241,96,96,0,13942.708333
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,3683,1483,2200,65,65,0,5566.153846
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,0,0,0,106,106,0,-100
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,INNSBRUCK,7702,7702,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,SALZBURG,6270,6270,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,13849,13849,0,1920,1920,0,621.302083
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LUTON,INNSBRUCK,1882,964,918,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LUTON,SALZBURG,956,956,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,3339,3339,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,STANSTED,INNSBRUCK,2295,1044,1251,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,4679,3899,780,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,6982,6982,0,931,931,0,649.946294
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BELFAST CITY (GEORGE BEST),SALZBURG,0,0,0,1,0,1,-100
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,SALZBURG,1072,1072,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,2896,908,1988,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,SALZBURG,1684,838,846,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,3333,2253,1080,11,11,0,30200
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,SALZBURG,2404,1499,905,20,20,0,11920
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,363,363,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,EAST MIDLANDS INTERNATIONAL,SALZBURG,1123,656,467,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,INNSBRUCK,2012,836,1176,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,SALZBURG,793,793,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,VIENNA,743,743,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,SALZBURG,725,0,725,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LEEDS BRADFORD,SALZBURG,888,888,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),SALZBURG,851,851,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),VIENNA,263,263,0,0,0,0,0
17/03/2022 11:53,202201,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,INNSBRUCK,5593,3099,2494,8,8,0,69812.5
