rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,23535,19811,3724,9204,8134,1070,155.704042
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,20018,18957,1061,1793,1479,314,1016.452872
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,19280,19280,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,INNSBRUCK,6711,6711,0,2541,2541,0,164.108619
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,SALZBURG,2255,2255,0,2419,2419,0,-6.779661
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,63441,63441,0,16623,16623,0,281.645912
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,LONDON CITY,SALZBURG,762,762,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,LUTON,INNSBRUCK,1232,420,812,679,307,372,81.443299
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,LUTON,SALZBURG,1618,1618,0,492,492,0,228.861789
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,LUTON,VIENNA,0,0,0,3265,3265,0,-100
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,STANSTED,INNSBRUCK,1369,478,891,563,295,268,143.161634
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,STANSTED,KLAGENFURT,2573,2573,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,8924,8738,186,3046,2976,70,192.974393
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,22621,22621,0,7494,7494,0,201.854817
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BELFAST INTERNATIONAL,SALZBURG,460,0,460,41,41,0,1021.95122
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BIGGIN HILL,SALZBURG,0,0,0,12,0,12,-100
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BIGGIN HILL,VIENNA,0,0,0,1,0,1,-100
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,2666,1012,1654,774,346,428,244.444444
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,SALZBURG,1125,634,491,442,231,211,154.524887
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,VIENNA,2287,2287,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,3651,2795,856,1167,936,231,212.85347
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,SALZBURG,1941,1521,420,402,335,67,382.835821
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,3772,3772,0,866,866,0,335.56582
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,EAST MIDLANDS INTERNATIONAL,SALZBURG,555,210,345,133,38,95,317.293233
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,INNSBRUCK,894,383,511,271,149,122,229.889299
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,SALZBURG,391,391,0,173,173,0,126.011561
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,EDINBURGH,VIENNA,4065,4065,0,1848,1848,0,119.967532
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,GLASGOW,SALZBURG,189,0,189,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,LEEDS BRADFORD,SALZBURG,525,525,0,143,143,0,267.132867
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,LEEDS BRADFORD,VIENNA,1551,1551,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),SALZBURG,746,746,0,162,162,0,360.493827
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,LIVERPOOL (JOHN LENNON),VIENNA,2554,2554,0,663,663,0,285.218703
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,INNSBRUCK,5321,3577,1744,1347,872,475,295.025984
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,KLAGENFURT,384,384,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,SALZBURG,2970,2117,853,853,582,271,248.182884
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,MANCHESTER,VIENNA,9936,9936,0,1303,1303,0,662.547966
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,INNSBRUCK,528,528,0,130,130,0,306.153846
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,SALZBURG,293,293,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,NEWCASTLE,VIENNA,1761,1761,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,AUSTRIA,SOUTHAMPTON,SALZBURG,327,327,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,BELGIUM,HEATHROW,BRUSSELS,53200,53200,0,15552,15552,0,242.078189
15/02/2023 17:21,202212,WESTERN EUROPE-EU,BELGIUM,LUTON,OSTEND,130,130,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,BELGIUM,STANSTED,BRUSSELS,247,247,0,0,0,0,0
15/02/2023 17:21,202212,WESTERN EUROPE-EU,BELGIUM,BIRMINGHAM,BRUSSELS,9093,9093,0,758,758,0,1099.604222
