rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,GATWICK,INNSBRUCK,4315,4315,0,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,GATWICK,SALZBURG,1754,0,1754,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,GATWICK,VIENNA,24810,24748,62,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,HEATHROW,VIENNA,63344,63344,0,10957,10957,0,478.114447
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,STANSTED,SALZBURG,6299,6299,0,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,STANSTED,VIENNA,20794,20794,0,5460,5410,50,280.842491
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,BIGGIN HILL,INNSBRUCK,8,0,8,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,BIGGIN HILL,SALZBURG,2,0,2,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,GRAZ,0,0,0,101,0,101,-100
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,INNSBRUCK,1371,1371,0,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,BIRMINGHAM,SALZBURG,1310,0,1310,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,BOURNEMOUTH,KLAGENFURT,112,0,112,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,INNSBRUCK,1276,1276,0,0,0,0,0
06/10/2022 17:08,202207,WESTERN EUROPE-EU,AUSTRIA,BRISTOL,VIENNA,3030,3030,0,0,0,0,0
